tokens_stemmed,clean_text_final
"['bayar', 'ribet', 'pake', 'wallet', 'aneh']",bayar ribet pake wallet aneh
"['log', 'mpay', 'dikit', 'pilih']",log mpay dikit pilih
['daftar'],daftar
"['bayar', 'pake', 'blu', 'verifikasi', 'akun', 'selesai', 'login', 'tulis', 'fail', 'fetch', 'data', 'server', 'ewalletnya', 'banyak', 'linkaja', 'ovo', 'dana']",bayar pake blu verifikasi akun selesai login tulis fail fetch data server ewalletnya banyak linkaja ovo dana
"['daftar', 'lengkap', 'data', 'atur', 'akun', 'ribet', 'download', 'astra', 'isa', 'bayar', 'keren', 'kai', 'access', 'sayang', 'mass', 'rapid', 'transit', 'gabisa', 'pake', 'kai', 'access']",daftar lengkap data atur akun ribet download astra isa bayar keren kai access sayang mass rapid transit gabisa pake kai access
"['gabisa', 'daftar', 'bulan']",gabisa daftar bulan
"['orang', 'pakai']",orang pakai
"['iniudah', 'installgiliran', 'masukin', 'kode', 'otp', 'kirim', 'kode', 'otp']",iniudah installgiliran masukin kode otp kirim kode otp
"['daftar', 'bisaudah', 'bbrpa', 'coba', 'tetep', 'daftar', 'jugaudah', 'coba', 'hape', 'nomer', 'berbedatapi', 'tetep', 'anehbuang', 'kuota']",daftar bisaudah bbrpa coba tetep daftar jugaudah coba hape nomer berbedatapi tetep anehbuang kuota
"['register', 'susah', 'kode', 'kirim', 'valid']",register susah kode kirim valid
"['oyi', 'tok']",oyi tok
"['bodoh', 'dunia', 'registrasi', 'eror', 'bodoh']",bodoh dunia registrasi eror bodoh
"['bawa', 'kartu', 'nikarna', 'beli', 'pake', 'rempong']",bawa kartu nikarna beli pake rempong
"['beli', 'tiket', 'pakai', 'ewallet', 'dana']",beli tiket pakai ewallet dana
"['bayar', 'pake', 'gopay', 'ovo', 'paksa', 'pake', 'astrapay', 'blu', 'saku', 'sulit', 'guna', 'jijik']",bayar pake gopay ovo paksa pake astrapay blu saku sulit guna jijik
"['daftar', 'bilang', 'kode', 'verifikasi', 'salah', 'sesuai']",daftar bilang kode verifikasi salah sesuai
['best'],best
"['kecewa', 'dahhh', 'pake', 'ewallet', 'dana', 'gopay', 'ovo', 'adahilangduhhhhh']",kecewa dahhh pake ewallet dana gopay ovo adahilangduhhhhh
"['susah', 'login']",susah login
"['pemgisian', 'saldo', 'sulit']",pemgisian saldo sulit
[],
['bagus'],bagus
"['jelek', 'apsnya', 'susah', 'login']",jelek apsnya susah login
"['close', 'cek', 'jadwal']",close cek jadwal
"['pakai', 'ovo', 'gopay', 'dana']",pakai ovo gopay dana
"['bagus', 'bgttapi', 'payment', 'pakek', 'ewallet', 'parah', 'mending', 'klo', 'payment', 'kagak', 'trus', 'gimana', 'kacauuuu']",bagus bgttapi payment pakek ewallet parah mending klo payment kagak trus gimana kacauuuu
[],
"['bayar', 'susahhh', 'enak', 'pake', 'gopay', 'ovo']",bayar susahhh enak pake gopay ovo
"['bulan', 'pakai', 'mass', 'rapid', 'transit', 'app', 'dana', 'gopay', 'eh', 'uninstall']",bulan pakai mass rapid transit app dana gopay eh uninstall
"['ribet', 'bayar', 'pake', 'wallet', 'skrg', 'kasih', 'pilih', 'wallet', 'jarang', 'orang', 'pake']",ribet bayar pake wallet skrg kasih pilih wallet jarang orang pake
"['gila', 'bisa', 'bayar', 'via', 'gopay', 'diilangin']",gila bisa bayar via gopay diilangin
"['dah', 'bayar', 'pake', 'gopay']",dah bayar pake gopay
[],
['daftar'],daftar
"['bug', 'mulu']",bug mulu
['lumayan'],lumayan
"['wallet', 'astra', 'pay', 'saku', 'gopay', 'dana']",wallet astra pay saku gopay dana
"['akun', 'hilang', 'daftar']",akun hilang daftar
"['good', 'job']",good job
"['mudah', 'sulit', 'payment', 'ewallet', 'hapus', 'aneh']",mudah sulit payment ewallet hapus aneh
"['bantu', 'jalan']",bantu jalan
"['daftar', 'hasil', 'sendiribagaimana', 'pakai', 'benah']",daftar hasil sendiribagaimana pakai benah
['bagus'],bagus
"['aaplikasinya', 'bagus']",aaplikasinya bagus
['good'],good
"['daftar', 'mentok', 'otp', 'karna', 'ngak', 'kirim', 'kirim']",daftar mentok otp karna ngak kirim kirim
"['bayar', 'pake', 'gopay', 'ovo', 'mudah', 'sulit', 'bayar', 'tiket', 'uninstall', 'kepake', 'aplikasi']",bayar pake gopay ovo mudah sulit bayar tiket uninstall kepake aplikasi
"['nyaman', 'bayar', 'pakai', 'gopay', 'ovo']",nyaman bayar pakai gopay ovo
[],
"['warga', 'jakarta', 'kelas', 'dunia']",warga jakarta kelas dunia
"['metode', 'bayar', 'batas', 'blu', 'saku', 'pakai']",metode bayar batas blu saku pakai
"['verifikasi', 'hp']",verifikasi hp
"['mantap', 'joss']",mantap joss
"['payment', 'channel', 'beli', 'tiket', 'batas', 'metode', 'orang', 'pakai']",payment channel beli tiket batas metode orang pakai
"['uninstall', 'apknya', 'krna', 'skrg', 'ribet', 'metode', 'bayar', 'ewallet', 'sprti', 'ovo', 'gopay']",uninstall apknya krna skrg ribet metode bayar ewallet sprti ovo gopay
"['juli', 'sulit', 'uninstall', 'metode', 'gopay', 'ovo', 'sedia']",juli sulit uninstall metode gopay ovo sedia
['terimajasih'],terimajasih
[],
"['bantu', 'tingkat', 'aktivitas']",bantu tingkat aktivitas
